"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.639167,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.684167,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.493333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.9208333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1968","1968","PC","Percentage","0","Units",,,5.116667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1969","1969","PC","Percentage","0","Units",,,5.566667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1970","1970","PC","Percentage","0","Units",,,7.108333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1971","1971","PC","Percentage","0","Units",,,7.008333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1972","1972","PC","Percentage","0","Units",,,5.083333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1973","1973","PC","Percentage","0","Units",,,6.983333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1974","1974","PC","Percentage","0","Units",,,13.15833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1975","1975","PC","Percentage","0","Units",,,8.525,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1976","1976","PC","Percentage","0","Units",,,9.24,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1977","1977","PC","Percentage","0","Units",,,10.2125,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1978","1978","PC","Percentage","0","Units",,,9.843333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1979","1979","PC","Percentage","0","Units",,,9.773334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1980","1980","PC","Percentage","0","Units",,,12.0275,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1981","1981","PC","Percentage","0","Units",,,15.03833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1982","1982","PC","Percentage","0","Units",,,16.83417,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1983","1983","PC","Percentage","0","Units",,,12.19917,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1984","1984","PC","Percentage","0","Units",,,12.1,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1985","1985","PC","Percentage","0","Units",,,15.9825,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1986","1986","PC","Percentage","0","Units",,,16.45167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1987","1987","PC","Percentage","0","Units",,,13.75,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1988","1988","PC","Percentage","0","Units",,,12.8,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1989","1989","PC","Percentage","0","Units",,,17.61167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1990","1990","PC","Percentage","0","Units",,,14.54333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1991","1991","PC","Percentage","0","Units",,,10.22583,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1992","1992","PC","Percentage","0","Units",,,6.465833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1993","1993","PC","Percentage","0","Units",,,5.151667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1994","1994","PC","Percentage","0","Units",,,5.656667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1995","1995","PC","Percentage","0","Units",,,7.725833,,
